"Year","Sex","Age Group","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2023","Males","0 to 4","332","9,459,399","3.51","--","20,901"
"2023","Males","5 to 9","102","10,304,720","0.99","--","5,989"
"2023","Males","10 to 14","62","10,667,918","0.58","--","3,255"
"2023","Males","15 to 19","203","11,296,635","1.80","--","9,661"
"2023","Females","0 to 4","173","9,051,761","1.91","--","10,914"
"2023","Females","5 to 9","41","9,848,037","0.42","--","2,403"
"2023","Females","10 to 14","20**","10,166,646","0.20**","--","1,061"
"2023","Females","15 to 19","27","10,778,845","0.25","--","1,305"
"2022","Males","0 to 4","320","9,535,896","3.36","--","20,139"
"2022","Males","5 to 9","89","10,359,079","0.86","--","5,219"
"2022","Males","10 to 14","67","10,835,340","0.62","--","3,528"
"2022","Males","15 to 19","174","11,167,267","1.56","--","8,288"
"2022","Females","0 to 4","177","9,121,846","1.94","--","11,176"
"2022","Females","5 to 9","30","9,900,542","0.30","--","1,753"
"2022","Females","10 to 14","36","10,317,654","0.35","--","1,902"
"2022","Females","15 to 19","38","10,666,036","0.36","--","1,811"
"2021","Males","0 to 4","315","9,637,967","3.27","--","19,772"
"2021","Males","5 to 9","103","10,384,386","0.99","--","6,055"
"2021","Males","10 to 14","64","10,996,920","0.58","--","3,378"
"2021","Males","15 to 19","178","11,030,293","1.61","--","8,485"
"2021","Females","0 to 4","198","9,212,341","2.15","--","12,486"
"2021","Females","5 to 9","40","9,923,280","0.40","--","2,325"
"2021","Females","10 to 14","31","10,467,654","0.30","--","1,647"
"2021","Females","15 to 19","17**","10,549,032","0.16**","--","815"
"2020","Males","0 to 4","311","9,862,137","3.15","--","19,584"
"2020","Males","5 to 9","81","10,411,470","0.78","--","4,756"
"2020","Males","10 to 14","62","11,109,121","0.56","--","3,257"
"2020","Males","15 to 19","218","11,008,738","1.98","--","10,372"
"2020","Females","0 to 4","146","9,429,738","1.55","--","9,230"
"2020","Females","5 to 9","34","9,933,666","0.34","--","1,987"
"2020","Females","10 to 14","20**","10,585,215","0.19**","--","1,057"
"2020","Females","15 to 19","31","10,533,347","0.29","--","1,475"
"2019","Males","0 to 4","254","10,001,266","2.54","--","15,986"
"2019","Males","5 to 9","98","10,335,306","0.95","--","5,728"
