"Year","State","Sex","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2023","Alabama","Males","23","646,829","3.56","3.59","1,327"
"2023","Alabama","Females","--","623,583","--","--","--"
"2023","Alaska","Males","--","99,254","--","--","--"
"2023","Alaska","Females","--","92,648","--","--","--"
"2023","Arizona","Males","17**","911,756","1.87**","1.97**","1,023"
"2023","Arizona","Females","12**","870,549","1.38**","1.41**","695"
"2023","Arkansas","Males","16**","402,746","3.97**","3.97**","896"
"2023","Arkansas","Females","--","383,271","--","--","--"
"2023","California","Males","51","4,852,592","1.05","1.08","2,934"
"2023","California","Females","25","4,632,577","0.54","0.57","1,500"
"2023","Colorado","Males","--","702,034","--","--","--"
"2023","Colorado","Females","--","666,575","--","--","--"
"2023","Connecticut","Males","--","419,282","--","--","--"
"2023","Connecticut","Females","--","403,509","--","--","--"
"2023","Delaware","Males","--","120,948","--","--","--"
"2023","Delaware","Females","0**","117,954","0.00**","0.00**","--"
"2023","District of Columbia","Males","--","73,292","--","--","--"
"2023","District of Columbia","Females","0**","73,494","0.00**","0.00**","--"
"2023","Florida","Males","81","2,502,097","3.24","3.31","4,748"
"2023","Florida","Females","31","2,391,775","1.30","1.35","1,921"
"2023","Georgia","Males","31","1,446,613","2.14","2.17","1,748"
"2023","Georgia","Females","15**","1,389,984","1.08**","1.12**","894"
"2023","Hawaii","Males","--","167,107","--","--","--"
"2023","Hawaii","Females","0**","156,366","0.00**","0.00**","--"
"2023","Idaho","Males","--","268,666","--","--","--"
"2023","Idaho","Females","0**","261,260","0.00**","0.00**","--"
"2023","Illinois","Males","23","1,548,787","1.49","1.51","1,294"
"2023","Illinois","Females","--","1,478,798","--","--","--"
"2023","Indiana","Males","--","909,831","--","--","--"
"2023","Indiana","Females","--","861,748","--","--","--"
"2023","Iowa","Males","--","421,385","--","--","--"
"2023","Iowa","Females","--","400,893","--","--","--"
"2023","Kansas","Males","--","399,553","--","--","--"
"2023","Kansas","Females","--","378,574","--","--","--"
"2023","Kentucky","Males","11**","578,488","1.90**","1.91**","614"
"2023","Kentucky","Females","--","549,222","--","--","--"
"2023","Louisiana","Males","16**","603,582","2.65**","2.67**","957"
"2023","Louisiana","Females","--","580,136","--","--","--"
"2023","Maine","Males","--","145,642","--","--","--"
"2023","Maine","Females","0**","137,108","0.00**","0.00**","--"
"2023","Maryland","Males","12**","773,228","1.55**","1.58**","689"
"2023","Maryland","Females","--","741,610","--","--","--"
"2023","Massachusetts","Males","--","786,778","--","--","--"
"2023","Massachusetts","Females","--","757,278","--","--","--"
"2023","Michigan","Males","12**","1,214,014","0.99**","1.02**","712"
"2023","Michigan","Females","--","1,154,233","--","--","--"
"2023","Minnesota","Males","15**","740,217","2.03**","2.02**","807"
"2023","Minnesota","Females","--","708,538","--","--","--"
"2023","Mississippi","Males","13**","388,225","3.35**","3.39**","732"
"2023","Mississippi","Females","--","374,252","--","--","--"
"2023","Missouri","Males","11**","787,061","1.40**","1.41**","620"
"2023","Missouri","Females","--","745,406","--","--","--"
"2023","Montana","Males","--","135,436","--","--","--"
"2023","Montana","Females","0**","127,230","0.00**","0.00**","--"
"2023","Nebraska","Males","--","275,638","--","--","--"
"2023","Nebraska","Females","--","260,646","--","--","--"
"2023","Nevada","Males","--","387,144","--","--","--"
"2023","Nevada","Females","--","368,305","--","--","--"
"2023","New Hampshire","Males","--","146,658","--","--","--"
"2023","New Hampshire","Females","0**","140,057","0.00**","0.00**","--"
"2023","New Jersey","Males","16**","1,142,290","1.40**","1.40**","881"
"2023","New Jersey","Females","--","1,087,896","--","--","--"
"2023","New Mexico","Males","--","259,864","--","--","--"
"2023","New Mexico","Females","--","248,746","--","--","--"
"2023","New York","Males","23","2,278,412","1.01","1.00","1,241"
"2023","New York","Females","--","2,179,199","--","--","--"
"2023","North Carolina","Males","28","1,344,180","2.08","2.07","1,547"
"2023","North Carolina","Females","--","1,287,499","--","--","--"
"2023","North Dakota","Males","0**","107,362","0.00**","0.00**","--"
"2023","North Dakota","Females","0**","102,272","0.00**","0.00**","--"
"2023","Ohio","Males","26","1,471,954","1.77","1.79","1,491"
"2023","Ohio","Females","10**","1,404,854","0.71**","0.74**","620"
"2023","Oklahoma","Males","15**","552,497","2.72**","2.78**","869"
"2023","Oklahoma","Females","--","525,540","--","--","--"
"2023","Oregon","Males","--","476,994","--","--","--"
"2023","Oregon","Females","--","453,621","--","--","--"
"2023","Pennsylvania","Males","15**","1,528,733","0.98**","1.01**","879"
"2023","Pennsylvania","Females","--","1,460,020","--","--","--"
"2023","Rhode Island","Males","--","120,890","--","--","--"
"2023","Rhode Island","Females","--","117,450","--","--","--"
"2023","South Carolina","Males","18**","657,143","2.74**","2.80**","1,042"
"2023","South Carolina","Females","--","630,517","--","--","--"
"2023","South Dakota","Males","--","126,406","--","--","--"
"2023","South Dakota","Females","--","119,866","--","--","--"
"2023","Tennessee","Males","20**","891,286","2.24**","2.27**","1,189"
"2023","Tennessee","Females","--","851,601","--","--","--"
"2023","Texas","Males","84","4,299,547","1.95","1.99","4,911"
"2023","Texas","Females","34","4,109,054","0.83","0.84","2,012"
"2023","Utah","Males","11**","533,166","2.06**","2.07**","604"
"2023","Utah","Females","--","507,659","--","--","--"
"2023","Vermont","Males","--","69,330","--","--","--"
"2023","Vermont","Females","0**","65,046","0.00**","0.00**","--"
"2023","Virginia","Males","13**","1,081,095","1.20**","1.18**","705"
"2023","Virginia","Females","--","1,029,934","--","--","--"
"2023","Washington","Males","12**","934,799","1.28**","1.27**","627"
"2023","Washington","Females","--","889,463","--","--","--"
"2023","West Virginia","Males","--","203,625","--","--","--"
"2023","West Virginia","Females","--","192,272","--","--","--"
